Name,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:10:54-04:00
Wolcott St & Dwight St,active,21,3,0,0,0,true,true,true,2023-07-25T07:10:54-04:00
Van Brunt St & Van Dyke St,active,15,0,1,7,0,true,true,true,2023-07-25T07:10:54-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:10:54-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:10:54-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:10:54-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:10:54-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:10:54-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:10:54-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:10:54-04:00
Commerce St & Van Brunt St,active,12,0,0,7,0,true,true,true,2023-07-25T07:10:54-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:10:54-04:00
Bay St & Court St,active,20,1,0,6,0,true,true,true,2023-07-25T07:10:54-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:10:54-04:00
Sigourney St & Columbia St,active,17,1,2,2,0,true,true,true,2023-07-25T07:10:54-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:10:54-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:10:54-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:15:55-04:00
Wolcott St & Dwight St,active,21,3,0,0,0,true,true,true,2023-07-25T07:15:55-04:00
Columbia St & Degraw St,active,21,0,0,1,0,true,true,true,2023-07-25T07:15:55-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:15:55-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:15:55-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:15:55-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:15:55-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:15:55-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:15:55-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:15:55-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:15:55-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:15:55-04:00
Bay St & Court St,active,20,1,0,6,0,true,true,true,2023-07-25T07:15:55-04:00
Commerce St & Van Brunt St,active,12,0,0,7,0,true,true,true,2023-07-25T07:15:55-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:15:55-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:15:55-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:15:55-04:00
Sigourney St & Columbia St,active,17,1,2,2,0,true,true,true,2023-07-25T07:15:55-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:15:55-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:20:55-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:20:55-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:20:55-04:00
Wolcott St & Dwight St,active,20,2,0,1,0,true,true,true,2023-07-25T07:20:55-04:00
Columbia St & Degraw St,active,20,0,0,1,0,true,true,true,2023-07-25T07:20:55-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:20:55-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:20:55-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:20:55-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:20:55-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:20:55-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:20:55-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:20:55-04:00
Commerce St & Van Brunt St,active,12,0,0,7,0,true,true,true,2023-07-25T07:20:55-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:20:55-04:00
Bay St & Court St,active,20,1,0,6,0,true,true,true,2023-07-25T07:20:55-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:20:55-04:00
Sigourney St & Columbia St,active,17,1,2,2,0,true,true,true,2023-07-25T07:20:55-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:20:55-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:20:55-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:25:55-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:25:55-04:00
Wolcott St & Dwight St,active,20,2,0,1,0,true,true,true,2023-07-25T07:25:55-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:25:55-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:25:55-04:00
Columbia St & Degraw St,active,20,0,0,1,0,true,true,true,2023-07-25T07:25:55-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:25:55-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:25:55-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:25:55-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:25:55-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:25:55-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:25:55-04:00
Bay St & Court St,active,20,1,0,6,0,true,true,true,2023-07-25T07:25:55-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:25:55-04:00
Commerce St & Van Brunt St,active,12,0,0,7,0,true,true,true,2023-07-25T07:25:55-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:25:55-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:25:55-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:25:55-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:25:55-04:00
Wolcott St & Dwight St,active,19,1,0,2,0,true,true,true,2023-07-25T07:30:56-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:30:56-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:30:56-04:00
Columbia St & Degraw St,active,20,0,0,1,0,true,true,true,2023-07-25T07:30:56-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:30:56-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:30:56-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:30:56-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:30:56-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:30:56-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:30:56-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:30:56-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:30:56-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:30:56-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:30:56-04:00
Commerce St & Van Brunt St,active,12,1,0,7,0,true,true,true,2023-07-25T07:30:56-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:30:56-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:30:56-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:30:56-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:30:56-04:00
Columbia St & Degraw St,active,20,0,0,1,0,true,true,true,2023-07-25T07:35:56-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:35:56-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:35:56-04:00
Wolcott St & Dwight St,active,19,1,0,2,0,true,true,true,2023-07-25T07:35:56-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:35:56-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:35:56-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T07:35:56-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:35:56-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:35:56-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:35:56-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:35:56-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:35:56-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:35:56-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:35:56-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:35:56-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T07:35:56-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:35:56-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:35:56-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:35:56-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:40:56-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:40:56-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:40:56-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:40:56-04:00
Wolcott St & Dwight St,active,19,1,0,2,0,true,true,true,2023-07-25T07:40:56-04:00
Columbia St & Degraw St,active,20,0,0,1,0,true,true,true,2023-07-25T07:40:56-04:00
Dwight St & Van Dyke St,active,21,1,2,0,0,true,true,true,2023-07-25T07:40:56-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T07:40:56-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:40:56-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:40:56-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T07:40:56-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:40:56-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T07:40:56-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:40:56-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:40:56-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:40:56-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:40:56-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T07:40:56-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:40:56-04:00
Columbia St & Degraw St,active,19,0,0,2,0,true,true,true,2023-07-25T07:45:56-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:45:56-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:45:56-04:00
Wolcott St & Dwight St,active,19,1,0,2,0,true,true,true,2023-07-25T07:45:56-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:45:56-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:45:56-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T07:45:56-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:45:56-04:00
Dwight St & Van Dyke St,active,20,1,3,1,0,true,true,true,2023-07-25T07:45:56-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:45:56-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T07:45:56-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:45:56-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:45:56-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:45:56-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:45:56-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T07:45:56-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:45:56-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:45:56-04:00
Van Brunt St & Wolcott St,active,27,0,2,5,0,true,true,true,2023-07-25T07:45:56-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:50:57-04:00
Columbia St & Degraw St,active,19,0,0,2,0,true,true,true,2023-07-25T07:50:57-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:50:57-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:50:57-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:50:57-04:00
Wolcott St & Dwight St,active,19,1,0,2,0,true,true,true,2023-07-25T07:50:57-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T07:50:57-04:00
Dwight St & Van Dyke St,active,20,1,2,1,0,true,true,true,2023-07-25T07:50:57-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:50:57-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:50:57-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T07:50:57-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:50:57-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T07:50:57-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:50:57-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:50:57-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:50:57-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:50:57-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:50:57-04:00
Van Brunt St & Wolcott St,active,27,0,2,5,0,true,true,true,2023-07-25T07:50:57-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T07:55:57-04:00
Wolcott St & Dwight St,active,18,0,0,3,0,true,true,true,2023-07-25T07:55:57-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T07:55:57-04:00
Columbia St & Degraw St,active,19,0,0,2,0,true,true,true,2023-07-25T07:55:57-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T07:55:57-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T07:55:57-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T07:55:57-04:00
Dwight St & Van Dyke St,active,20,1,2,1,0,true,true,true,2023-07-25T07:55:57-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T07:55:57-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T07:55:57-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T07:55:57-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T07:55:57-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T07:55:57-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T07:55:57-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T07:55:57-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T07:55:57-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T07:55:57-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T07:55:57-04:00
Van Brunt St & Wolcott St,active,27,0,2,5,0,true,true,true,2023-07-25T07:55:57-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T08:00:57-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T08:00:57-04:00
Columbia St & Degraw St,active,20,1,0,1,0,true,true,true,2023-07-25T08:00:57-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T08:00:57-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T08:00:57-04:00
Wolcott St & Dwight St,active,18,0,0,3,0,true,true,true,2023-07-25T08:00:57-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T08:00:57-04:00
Dwight St & Van Dyke St,active,20,1,2,1,0,true,true,true,2023-07-25T08:00:57-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T08:00:57-04:00
Henry St & W 9 St,active,14,0,2,3,0,true,true,true,2023-07-25T08:00:57-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T08:00:57-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T08:00:57-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T08:00:57-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T08:00:57-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T08:00:57-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T08:00:57-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T08:00:57-04:00
Van Brunt St & Wolcott St,active,27,0,2,5,0,true,true,true,2023-07-25T08:00:57-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T08:00:57-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T08:05:57-04:00
Columbia St & Degraw St,active,20,1,0,1,0,true,true,true,2023-07-25T08:05:57-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T08:05:57-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T08:05:57-04:00
Wolcott St & Dwight St,active,18,0,0,3,0,true,true,true,2023-07-25T08:05:57-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T08:05:57-04:00
Carroll St & Columbia St,active,33,0,3,3,0,true,true,true,2023-07-25T08:05:57-04:00
Dwight St & Van Dyke St,active,20,1,2,1,0,true,true,true,2023-07-25T08:05:57-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T08:05:57-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T08:05:57-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T08:05:57-04:00
Henry St & W 9 St,active,13,0,2,4,0,true,true,true,2023-07-25T08:05:57-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T08:05:57-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T08:05:57-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T08:05:57-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T08:05:57-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T08:05:57-04:00
Sigourney St & Columbia St,active,18,2,2,1,0,true,true,true,2023-07-25T08:05:57-04:00
Van Brunt St & Wolcott St,active,26,0,2,6,0,true,true,true,2023-07-25T08:05:57-04:00
Wolcott St & Dwight St,active,18,0,0,3,0,true,true,true,2023-07-25T08:10:58-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T08:10:58-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T08:10:58-04:00
Columbia St & Degraw St,active,19,0,1,2,0,true,true,true,2023-07-25T08:10:58-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T08:10:58-04:00
Columbia St & Lorraine St,active,34,0,1,2,0,true,true,true,2023-07-25T08:10:58-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T08:10:58-04:00
Dwight St & Van Dyke St,active,20,1,2,1,0,true,true,true,2023-07-25T08:10:58-04:00
Pioneer St & Van Brunt St,active,32,0,0,6,0,true,true,true,2023-07-25T08:10:58-04:00
Henry St & W 9 St,active,13,0,2,4,0,true,true,true,2023-07-25T08:10:58-04:00
Clinton St & Centre St,active,20,0,0,1,0,true,true,true,2023-07-25T08:10:58-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T08:10:58-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T08:10:58-04:00
Commerce St & Van Brunt St,active,11,1,0,8,0,true,true,true,2023-07-25T08:10:58-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T08:10:58-04:00
Bay St & Court St,active,21,1,0,5,0,true,true,true,2023-07-25T08:10:58-04:00
Columbia St & W 9 St,active,19,0,0,2,0,true,true,true,2023-07-25T08:10:58-04:00
Sigourney St & Columbia St,active,19,3,2,0,0,true,true,true,2023-07-25T08:10:58-04:00
Van Brunt St & Wolcott St,active,26,0,2,6,0,true,true,true,2023-07-25T08:10:58-04:00
Columbia St & Degraw St,active,20,1,0,1,0,true,true,true,2023-07-25T08:15:58-04:00
Wolcott St & Dwight St,active,18,0,0,3,0,true,true,true,2023-07-25T08:15:58-04:00
Columbia St & Lorraine St,active,33,0,1,4,0,true,true,true,2023-07-25T08:15:58-04:00
Van Brunt St & Van Dyke St,active,16,0,1,6,0,true,true,true,2023-07-25T08:15:58-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T08:15:58-04:00
Henry St & Bay St,active,16,0,0,2,0,true,true,true,2023-07-25T08:15:58-04:00
Carroll St & Columbia St,active,34,0,3,2,0,true,true,true,2023-07-25T08:15:58-04:00
